stem,common,scientific,family,ca_status,confidence,note
callipepla-californica,California Quail,Callipepla californica,New World quail (Odontophoridae),common resident,high,Verified. Correct.
calothorax-lucifer,Lucifer Hummingbird,Calothorax lucifer,hummingbirds (Trochilidae),not expected in California,high,Specialty of the Big Bend region of Texas and Mexico; not a California bird. eBird/Clements English name is Lucifer Hummingbird (also sometimes called Lucifer Sheartail).
calypte-anna,Anna's Hummingbird,Calypte anna,hummingbirds (Trochilidae),common resident,high,Verified correct.
calypte-costae,Costa's Hummingbird,Calypte costae,hummingbirds (Trochilidae),common resident/breeder in arid southern California,high,Verified correct.
cardellina-pusilla,Wilson's Warbler,Cardellina pusilla,New World warblers (Parulidae),common migrant and summer breeder,high,Formerly Wilsonia pusilla; now placed in Cardellina. Verified correct.
cardellina-rubrifrons,Red-faced Warbler,Cardellina rubrifrons,New World warblers (Parulidae),rare/vagrant,high,Breeds in Arizona/New Mexico mountains; rare vagrant to California. Verified correct.
cathartes-aura,Turkey Vulture,Cathartes aura,New World vultures (Cathartidae),common resident and migrant,high,Verified correct.
catharus-guttatus,Hermit Thrush,Catharus guttatus,thrushes (Turdidae),common winter visitor,high,Verified correct.
catharus-ustulatus,Swainson's Thrush,Catharus ustulatus,thrushes (Turdidae),common migrant and summer breeder,high,Verified correct.
catherpes-mexicanus,Canyon Wren,Catherpes mexicanus,wrens (Troglodytidae),uncommon resident in rocky/canyon habitat,high,Verified correct. Monotypic genus Catherpes.
certhia-americana,Brown Creeper,Certhia americana,treecreepers (Certhiidae),"uncommon resident in conifer forest, winter visitor at lower elevations",high,Verified correct.
chaetura-vauxi,Vaux's Swift,Chaetura vauxi,swifts (Apodidae),migrant and local summer breeder,high,Verified correct.
charadrius-vociferus,Killdeer,Charadrius vociferus,plovers (Charadriidae),common resident,high,Verified correct.
chondestes-grammacus,Lark Sparrow,Chondestes grammacus,New World sparrows (Passerellidae),common resident/breeder in open country,high,Verified correct. Monotypic genus Chondestes.
chordeiles-minor,Common Nighthawk,Chordeiles minor,nightjars (Caprimulgidae),"uncommon summer breeder, mainly in the north and mountains",high,"Verified correct. Note Lesser Nighthawk (C. acutipennis) is the more widespread breeder in much of southern CA, but C. minor is correctly Common Nighthawk."
cinclus-mexicanus,American Dipper,Cinclus mexicanus,dippers (Cinclidae),uncommon resident along fast-flowing mountain streams,high,Verified correct.
circus-hudsonius,Northern Harrier,Circus hudsonius,"hawks, eagles and kites (Accipitridae)",common winter visitor and local breeder,high,Split from Eurasian Hen Harrier (Circus cyaneus); New World birds are now Circus hudsonius. Verified correct.
cistothorus-palustris,Marsh Wren,Cistothorus palustris,wrens (Troglodytidae),common resident in marshes,high,Verified against eBird/Clements 2024: name unchanged. No species-level split for C. palustris in the 2024 update (subspecies groups such as griseus and dissaeptus are tracked at the ISSF level only).
coccothraustes-vespertinus,Evening Grosbeak,Coccothraustes vespertinus,finches (Fringillidae),"uncommon/irruptive, mainly montane; rare in lowland backyards",high,"Verified. Now often placed in genus Hesperiphona, but Coccothraustes vespertinus remains widely used; common name Evening Grosbeak is correct."
colaptes-auratus,Northern Flicker,Colaptes auratus,woodpeckers (Picidae),common resident and winter visitor,high,Verified. (Yellow-shafted and Red-shafted are subspecies groups; species name is Northern Flicker.)
columba-livia,Rock Pigeon,Columba livia,pigeons and doves (Columbidae),common resident (introduced),high,Verified. 'Rock Pigeon' is the current AOS/eBird name (formerly 'Rock Dove').
columbina-passerina,Common Ground Dove,Columbina passerina,pigeons and doves (Columbidae),uncommon resident in far southern CA; rare elsewhere,high,Verified. eBird/Clements uses 'Common Ground Dove' (the hyphen in 'Ground-Dove' was dropped by AOS).
contopus-sordidulus,Western Wood-Pewee,Contopus sordidulus,tyrant flycatchers (Tyrannidae),common summer breeder and migrant,high,Verified. 'Western Wood-Pewee' (hyphen retained in AOS/eBird).
coragyps-atratus,Black Vulture,Coragyps atratus,New World vultures (Cathartidae),rare/vagrant in California,high,Verified.
corvus-brachyrhynchos,American Crow,Corvus brachyrhynchos,crows and jays (Corvidae),common resident,high,Verified.
corvus-corax,Common Raven,Corvus corax,crows and jays (Corvidae),common resident,high,Verified.
cyanocitta-stelleri,Steller's Jay,Cyanocitta stelleri,crows and jays (Corvidae),common resident in conifer/oak woodland,high,"Verified. Note: a 2024 AOS proposal split coastal Pacific birds as 'Steller's Jay' vs interior 'Steller's Jay'-complex was discussed, but C. stelleri remains 'Steller's Jay' in eBird/Clements 2024."
cygnus-buccinator,Trumpeter Swan,Cygnus buccinator,"ducks, geese, and waterfowl (Anatidae)",rare winter visitor,high,Verified.
cypseloides-niger,Black Swift,Cypseloides niger,swifts (Apodidae),rare/local summer breeder; uncommon migrant,high,Verified.
dryobates-nuttallii,Nuttall's Woodpecker,Dryobates nuttallii,woodpeckers (Picidae),common resident (California near-endemic),high,Verified. Moved from Picoides to Dryobates (eBird/Clements). Some authorities use Leuconotopicus; common name unchanged.
dryobates-pubescens,Downy Woodpecker,Dryobates pubescens,woodpeckers (Picidae),common resident,high,Verified. Moved from Picoides to Dryobates (eBird/Clements).
dryobates-villosus,Hairy Woodpecker,Dryobates villosus,woodpeckers (Picidae),fairly common resident,high,"Common name verified as 'Hairy Woodpecker'. CORRECTED NOTE: placed in Dryobates by eBird/Clements (some authorities use Leuconotopicus). The original note's claim that 'recent splits place western birds in Dryobates' is incorrect and was removed — there is no such split, and the entire species (not a western subset) is treated under Dryobates."
dryocopus-pileatus,Pileated Woodpecker,Dryocopus pileatus,woodpeckers (Picidae),uncommon resident in northern/montane forests; not expected in most backyards,high,Verified.
egretta-caerulea,Little Blue Heron,Egretta caerulea,"herons, egrets, and bitterns (Ardeidae)",rare/vagrant (very local; mostly Salton Sea and coastal southern California),high,Verified: Egretta caerulea = Little Blue Heron (Clements 2024 / AOS). Correct.
egretta-thula,Snowy Egret,Egretta thula,"herons, egrets, and bitterns (Ardeidae)",common resident,high,Verified correct.
elanus-leucurus,White-tailed Kite,Elanus leucurus,"hawks, kites, and eagles (Accipitridae)",common resident,high,Verified correct.
empidonax-difficilis,Western Flycatcher,Empidonax difficilis,tyrant flycatchers (Tyrannidae),common summer breeder,high,"CORRECTED common name from 'Pacific-slope Flycatcher' to 'Western Flycatcher'. The supplied note was factually wrong: Pacific-slope and Cordilleran were RE-LUMPED into Western Flycatcher in the 2023 eBird/Clements taxonomy update (AOS 2023, not 2025), and Clements 2024 and current eBird list E. difficilis as 'Western Flycatcher' (ebird.org/species/wesfly). 'Pacific-slope' now survives only as the subspecies group Western Flycatcher (Pacific-slope), E. difficilis [difficilis Group]. CA breeders (difficilis/insulicola) fall under that Pacific-slope group, but the species-level common name is Western Flycatcher."
empidonax-hammondii,Hammond's Flycatcher,Empidonax hammondii,tyrant flycatchers (Tyrannidae),uncommon migrant (breeds in high mountains),high,Verified correct.
empidonax-oberholseri,Dusky Flycatcher,Empidonax oberholseri,tyrant flycatchers (Tyrannidae),summer breeder in mountains; migrant elsewhere,high,Verified correct.
empidonax-traillii,Willow Flycatcher,Empidonax traillii,tyrant flycatchers (Tyrannidae),uncommon migrant; rare/local summer breeder (state endangered),high,Verified correct.
empidonax-wrightii,Gray Flycatcher,Empidonax wrightii,tyrant flycatchers (Tyrannidae),summer breeder in eastern CA; migrant/winter visitor in south,high,"Verified correct. Note the classic Empidonax naming trap: E. wrightii is Gray Flycatcher, while 'Wright's' is the obsolete name for Dusky (E. oberholseri). Mapping here is right."
eremophila-alpestris,Horned Lark,Eremophila alpestris,larks (Alaudidae),common resident,high,Verified correct.
euphagus-cyanocephalus,Brewer's Blackbird,Euphagus cyanocephalus,New World blackbirds (Icteridae),common resident,high,Verified correct.
falco-columbarius,Merlin,Falco columbarius,falcons (Falconidae),uncommon winter visitor,high,Verified correct.
falco-mexicanus,Prairie Falcon,Falco mexicanus,falcons (Falconidae),uncommon resident,high,Verified correct.
falco-peregrinus,Peregrine Falcon,Falco peregrinus,falcons (Falconidae),uncommon resident,high,Verified correct.
falco-sparverius,American Kestrel,Falco sparverius,falcons (Falconidae),common resident,high,Verified correct.
gavia-immer,Common Loon,Gavia immer,loons (Gaviidae),common winter visitor (coastal/large lakes); not a backyard bird,high,Verified correct.
geothlypis-tolmiei,MacGillivray's Warbler,Geothlypis tolmiei,New World warblers (Parulidae),summer breeder in mountains; uncommon migrant,high,Verified correct. Genus move from Oporornis to Geothlypis is accurate.
geothlypis-trichas,Common Yellowthroat,Geothlypis trichas,New World warblers (Parulidae),common resident in marshes/wetlands,high,Verified against eBird/Clements 2024. Correct.
glaucidium-gnoma,Northern Pygmy-Owl,Glaucidium gnoma,owls (Strigidae),uncommon resident in montane/foothill forests,high,"Correct under AOS/Clements 2024. IOC splits this into Mountain Pygmy-Owl (G. gnoma) and Northern Pygmy-Owl (G. californicum), but AOS/Clements 2024 retains the broad concept with the English name Northern Pygmy-Owl for G. gnoma."
gymnogyps-californianus,California Condor,Gymnogyps californianus,New World vultures (Cathartidae),"rare; reintroduced resident, very unlikely in a backyard",high,Verified. Correct.
haemorhous-mexicanus,House Finch,Haemorhous mexicanus,finches (Fringillidae),abundant resident,high,Verified. Genus Haemorhous (moved from Carpodacus). Correct.
haemorhous-purpureus,Purple Finch,Haemorhous purpureus,finches (Fringillidae),fairly common resident/winter visitor in wooded areas,high,Verified. Correct.
haliaeetus-leucocephalus,Bald Eagle,Haliaeetus leucocephalus,"hawks, eagles and kites (Accipitridae)",uncommon resident/winter visitor near water,high,Verified. Correct.
himantopus-mexicanus,Black-necked Stilt,Himantopus mexicanus,stilts and avocets (Recurvirostridae),common resident/breeder in wetlands,high,Verified. Correct.
hirundo-rustica,Barn Swallow,Hirundo rustica,swallows (Hirundinidae),common summer breeder,high,Verified. Correct.
hydroprogne-caspia,Caspian Tern,Hydroprogne caspia,"gulls, terns and skimmers (Laridae)",common breeder/migrant near water,high,Verified. Correct.
icteria-virens,Yellow-breasted Chat,Icteria virens,Yellow-breasted Chat (Icteriidae),uncommon summer breeder in riparian thickets,high,"Common name correct. Family Icteriidae correct (monotypic, split from Parulidae). Capitalized 'Yellow-breasted Chat' in the family label for consistency; original lowercase phrasing was non-standard but factually fine."
icterus-bullockii,Bullock's Oriole,Icterus bullockii,New World blackbirds (Icteridae),common summer breeder,high,Verified. Correct.
icterus-cucullatus,Hooded Oriole,Icterus cucullatus,New World blackbirds (Icteridae),"common summer breeder, esp. near palms",high,Verified. Correct.
icterus-galbula,Baltimore Oriole,Icterus galbula,New World blackbirds (Icteridae),rare/vagrant (mostly fall/winter),high,Verified. Correct.
icterus-parisorum,Scott's Oriole,Icterus parisorum,New World blackbirds (Icteridae),uncommon summer breeder in arid/desert scrub,high,Verified. Correct.
ixoreus-naevius,Varied Thrush,Ixoreus naevius,thrushes (Turdidae),common winter visitor in shaded woods,high,Verified. Correct.
junco-hyemalis,Dark-eyed Junco,Junco hyemalis,New World sparrows (Passerellidae),common resident/winter visitor ('Oregon' form),high,Verified against eBird/Clements 2024. Dark-eyed Junco is the species name; 'Oregon' is the ISSF group typical in CA. Correct.
lanius-ludovicianus,Loggerhead Shrike,Lanius ludovicianus,shrikes (Laniidae),uncommon to fairly common resident,high,Verified correct.
larus-californicus,California Gull,Larus californicus,"gulls, terns, and skimmers (Laridae)",common winter visitor; inland breeder at saline lakes,high,Verified correct; correctly retained in Larus (not moved to Leucophaeus).
larus-delawarensis,Ring-billed Gull,Larus delawarensis,"gulls, terns, and skimmers (Laridae)",common winter visitor,high,Verified correct; correctly retained in Larus.
larus-glaucescens,Glaucous-winged Gull,Larus glaucescens,"gulls, terns, and skimmers (Laridae)",common winter visitor along the coast,high,Verified correct; correctly retained in Larus.
larus-heermanni,Heermann's Gull,Larus heermanni,"gulls, terns, and skimmers (Laridae)",common post-breeding visitor along the coast,high,"Verified correct. Note: Heermann's Gull is retained in Larus, not moved to Leucophaeus (a common point of confusion)."
larus-occidentalis,Western Gull,Larus occidentalis,"gulls, terns, and skimmers (Laridae)",common coastal resident,high,Verified correct; correctly retained in Larus.
leiothlypis-celata,Orange-crowned Warbler,Leiothlypis celata,New World warblers (Parulidae),"common migrant, winter visitor, and breeder",high,Verified correct. Genus moved from Oreothlypis/Vermivora to Leiothlypis (2019).
leiothlypis-lucidae,Lucy's Warbler,Leiothlypis luciae,New World warblers (Parulidae),local summer breeder along the lower Colorado River; rare elsewhere,high,"Verified correct. Stem 'lucidae' is a misspelling of the epithet 'luciae' (Lucy's Warbler, named for Lucy Hunter Baird); stem kept as given per rules, scientific/common resolved to the intended species. Genus moved from Oreothlypis/Vermivora to Leiothlypis (2019)."
leucophaeus-atricilla,Laughing Gull,Leucophaeus atricilla,"gulls, terns, and skimmers (Laridae)",rare/vagrant (mostly post-breeding at the Salton Sea),high,Verified correct; correctly placed in Leucophaeus.
leucophaeus-pipixcan,Franklin's Gull,Leucophaeus pipixcan,"gulls, terns, and skimmers (Laridae)",rare migrant/vagrant,high,Verified correct; correctly placed in Leucophaeus.
leucosticte-tephrocotis,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,finches (Fringillidae),uncommon high-alpine breeder; winters at high elevations,high,Verified correct. eBird/Clements uses hyphenated 'Rosy-Finch'.
limosa-fedoa,Marbled Godwit,Limosa fedoa,sandpipers and allies (Scolopacidae),common winter visitor along the coast,high,Verified correct.
lophodytes-cucullatus,Hooded Merganser,Lophodytes cucullatus,"ducks, geese, and waterfowl (Anatidae)",uncommon winter visitor; local breeder,high,Verified correct; monotypic genus Lophodytes.
loxia-curvirostra,Red Crossbill,Loxia curvirostra,finches (Fringillidae),irregular/irruptive resident in conifer forests,high,Verified correct.
mareca-americana,American Wigeon,Mareca americana,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Verified correct. Genus moved from Anas to Mareca.
mareca-strepera,Gadwall,Mareca strepera,"ducks, geese, and waterfowl (Anatidae)",common resident and winter visitor,high,Verified correct. Genus moved from Anas to Mareca.
megaceryle-alcyon,Belted Kingfisher,Megaceryle alcyon,kingfishers (Alcedinidae),common resident/winter visitor near water,high,Verified correct vs eBird/Clements 2024.
megascops-kennicottii,Western Screech-Owl,Megascops kennicottii,owls (Strigidae),common resident,high,Correct; AOS uses hyphenated 'Screech-Owl'.
melanerpes-formicivorus,Acorn Woodpecker,Melanerpes formicivorus,woodpeckers (Picidae),common resident in oak woodland,high,Verified correct.
melanerpes-lewis,Lewis's Woodpecker,Melanerpes lewis,woodpeckers (Picidae),uncommon/local resident and winter visitor,high,Epithet often written 'lewisii'; eBird/Clements uses 'lewis'. Confirmed: Gray's name Picus lewis (1849); honors Meriwether Lewis.
meleagris-gallopavo,Wild Turkey,Meleagris gallopavo,"pheasants, grouse, and allies (Phasianidae)",common introduced resident,high,Verified correct.
melospiza-georgiana,Swamp Sparrow,Melospiza georgiana,New World sparrows (Passerellidae),rare/uncommon winter visitor,high,Verified correct.
melospiza-lincolnii,Lincoln's Sparrow,Melospiza lincolnii,New World sparrows (Passerellidae),common winter visitor; breeds in mountains,high,Verified correct.
melospiza-melodia,Song Sparrow,Melospiza melodia,New World sparrows (Passerellidae),common resident,high,Verified correct.
melozone-aberti,Abert's Towhee,Melozone aberti,New World sparrows (Passerellidae),common resident in SE California deserts,high,Formerly Pipilo aberti. Verified correct.
melozone-crissalis,California Towhee,Melozone crissalis,New World sparrows (Passerellidae),common resident,high,Formerly Pipilo crissalis. Split from Canyon Towhee (AOU 1989); occurs west of Colorado River.
melozone-fusca,Canyon Towhee,Melozone fusca,New World sparrows (Passerellidae),not expected in California,high,"Range is interior Southwest/Mexico (east of Colorado River); California birds are California Towhee (M. crissalis), split from this species (AOU 1989)."
mergus-merganser,Common Merganser,Mergus merganser,"ducks, geese, and waterfowl (Anatidae)",common resident/winter visitor on water,high,Verified correct (Old World name 'Goosander' = same species).
mimus-polyglottos,Northern Mockingbird,Mimus polyglottos,mockingbirds and thrashers (Mimidae),common resident,high,Verified correct.
mniotilta-varia,Black-and-white Warbler,Mniotilta varia,New World warblers (Parulidae),rare but regular migrant/winter visitor,high,Verified correct.
molothrus-ater,Brown-headed Cowbird,Molothrus ater,New World blackbirds (Icteridae),"common summer breeder, some winter",high,Verified correct.
myadestes-townsendi,Townsend's Solitaire,Myadestes townsendi,thrushes (Turdidae),uncommon winter visitor; breeds in high mountains,high,Verified correct; family Turdidae confirmed.
myiarchus-cinerascens,Ash-throated Flycatcher,Myiarchus cinerascens,tyrant flycatchers (Tyrannidae),common summer breeder,high,Verified correct.
nucifraga-columbiana,Clark's Nutcracker,Nucifraga columbiana,crows and jays (Corvidae),resident in high mountains; rare in lowland backyards,high,Verified correct.
numenius-americanus,Long-billed Curlew,Numenius americanus,sandpipers (Scolopacidae),common winter visitor and migrant (coast/wetlands),high,Verified correct.
nycticorax-nycticorax,Black-crowned Night Heron,Nycticorax nycticorax,herons (Ardeidae),common resident near water,high,"Common name verified. Note as written is slightly imprecise: AOS/eBird-Clements retained the hyphenated 'Black-crowned Night-Heron' through the 2023 update; the unhyphenated 'Black-crowned Night Heron' became official with the 2024 update. The list's spelling ('Night Heron', no hyphen) matches Clements 2024."
oreothlypis-ruficapilla,Nashville Warbler,Leiothlypis ruficapilla,New World warblers (Parulidae),common spring/fall migrant; local summer breeder in north,high,"Common name correct. Stem 'oreothlypis-ruficapilla' preserved as the filename key, but current accepted binomial is Leiothlypis ruficapilla (formerly Oreothlypis/Vermivora); corrected the 'scientific' field accordingly to match Clements 2024."
pandion-haliaetus,Osprey,Pandion haliaetus,ospreys (Pandionidae),resident/breeder near water; widespread migrant,high,"Verified correct. Clements full name 'Osprey'; some lists use 'Western Osprey' (P. h. carolinensis is the North American subspecies), but the species-level English name remains 'Osprey'."
passer-domesticus,House Sparrow,Passer domesticus,Old World sparrows (Passeridae),common resident (introduced),high,Verified correct.
passerculus-sandwichensis,Savannah Sparrow,Passerculus sandwichensis,New World sparrows (Passerellidae),common resident/winter visitor in open habitats,high,"Verified correct. Spelling 'Savannah Sparrow' (named for Savannah, Georgia) is the standard English name."
passerella-iliaca,Fox Sparrow,Passerella iliaca,New World sparrows (Passerellidae),common winter visitor,high,"Verified correct. Still treated as a single species 'Fox Sparrow' in Clements 2024 (the 'Red/Sooty/Slate-colored/Thick-billed' forms remain subspecies groups, not split)."
passerina-amoena,Lazuli Bunting,Passerina amoena,cardinals and allies (Cardinalidae),common summer breeder,high,Verified correct.
passerina-cyanea,Indigo Bunting,Passerina cyanea,cardinals and allies (Cardinalidae),rare/local summer visitor; uncommon migrant,high,Verified correct.
patagioenas-fasciata,Band-tailed Pigeon,Patagioenas fasciata,pigeons and doves (Columbidae),common resident in oak/conifer foothills; visits backyards,high,Verified correct; genus Patagioenas (formerly Columba) confirmed.
pelecanus-erythrorhynchos,American White Pelican,Pelecanus erythrorhynchos,pelicans (Pelecanidae),common winter visitor; local breeder,high,Verified correct.
pelecanus-occidentalis,Brown Pelican,Pelecanus occidentalis,pelicans (Pelecanidae),common coastal resident/post-breeding visitor,high,Verified correct.
perisoreus-canadensis,Canada Jay,Perisoreus canadensis,crows and jays (Corvidae),resident in high northern mountains; not a lowland backyard bird,high,Verified correct. AOS restored 'Canada Jay' (from 'Gray Jay') in 2018.
petrochelidon-pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota,swallows (Hirundinidae),common summer breeder,high,Common name 'Cliff Swallow' is correct for Clements/eBird (also called 'American Cliff Swallow' in IOC; AOS/Clements uses 'Cliff Swallow').
